problem_name,suite_id,dim,nopt,sr_strict,anof_strict,mpr_strict,sr_loose,anof_loose,mpr_loose,ca_size,best_fitness
p1_balanced,1,2,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,36,89.9986
p1_balanced,1,3,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,43,89.9717
p1_balanced,1,5,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0312
p1_balanced,1,10,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0001
p2_unequal_basins,2,2,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,138,89.9985
p2_unequal_basins,2,3,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,200,89.8351
p2_unequal_basins,2,5,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200,7.0263
p2_unequal_basins,2,10,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.6263
p3_local_conflict,3,2,1,100.0000,1.0000,1.0000,100.0000,1.0000,1.0000,82,89.9864
p3_local_conflict,3,3,1,100.0000,1.0000,1.0000,100.0000,1.0000,1.0000,200,89.9963
p3_local_conflict,3,5,1,0.0000,0.0000,0.0000,100.0000,1.0000,1.0000,52,88.9166
p3_local_conflict,3,10,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200,58.9411
p4_rugged,4,2,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,143,89.9995
p4_rugged,4,3,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,200,89.9958
p4_rugged,4,5,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,87,89.8094
p4_rugged,4,10,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0001
p5_rotated,5,2,1,100.0000,1.0000,1.0000,100.0000,1.0000,1.0000,200,89.9997
p5_rotated,5,3,1,100.0000,1.0000,1.0000,100.0000,1.0000,1.0000,200,89.9734
p5_rotated,5,5,1,0.0000,0.0000,0.0000,100.0000,1.0000,1.0000,200,88.8914
p5_rotated,5,10,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,48.4702
p6_deceptive,6,2,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,50,89.9880
p6_deceptive,6,3,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,200,89.8065
p6_deceptive,6,5,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26,86.1616
p6_deceptive,6,10,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.9613
p7_hierarchical,7,2,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,200,89.9992
p7_hierarchical,7,3,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,200,89.9920
p7_hierarchical,7,5,2,0.0000,1.0000,0.5000,0.0000,1.0000,0.5000,200,89.9644
p7_hierarchical,7,10,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.9417
p8_disconnected,8,2,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,200,89.9991
p8_disconnected,8,3,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,200,89.9497
p8_disconnected,8,5,2,100.0000,2.0000,1.0000,100.0000,2.0000,1.0000,200,89.5614
p8_disconnected,8,10,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.2026
p9_twenty_shared_optima,9,2,20,0.0000,18.0000,0.9000,0.0000,18.0000,0.9000,111,89.9983
p9_twenty_shared_optima,9,3,20,0.0000,7.0000,0.3500,0.0000,10.0000,0.5000,200,89.9938
p9_twenty_shared_optima,9,5,20,0.0000,3.0000,0.1500,0.0000,4.0000,0.2000,88,89.5898
p9_twenty_shared_optima,9,10,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,109,66.1827
p10_rotated_rugged_deceptive,10,2,6,100.0000,6.0000,1.0000,100.0000,6.0000,1.0000,200,89.9990
p10_rotated_rugged_deceptive,10,3,6,100.0000,6.0000,1.0000,100.0000,6.0000,1.0000,200,89.9659
p10_rotated_rugged_deceptive,10,5,6,0.0000,1.0000,0.1667,0.0000,1.0000,0.1667,200,89.2499
p10_rotated_rugged_deceptive,10,10,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.9767
p11_hierarchical_disconnected,11,2,8,100.0000,8.0000,1.0000,100.0000,8.0000,1.0000,200,89.9990
p11_hierarchical_disconnected,11,3,8,0.0000,7.0000,0.8750,100.0000,8.0000,1.0000,200,89.9645
p11_hierarchical_disconnected,11,5,8,0.0000,2.0000,0.2500,0.0000,2.0000,0.2500,200,89.5053
p11_hierarchical_disconnected,11,10,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2.8460
p12_full_mixed_multimodal,12,2,16,100.0000,16.0000,1.0000,100.0000,16.0000,1.0000,200,89.9998
p12_full_mixed_multimodal,12,3,16,0.0000,15.0000,0.9375,100.0000,16.0000,1.0000,200,89.9926
p12_full_mixed_multimodal,12,5,16,0.0000,2.0000,0.1250,0.0000,3.0000,0.1875,200,89.3672
p12_full_mixed_multimodal,12,10,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200,9.2307
